[MAAC] Training 18×18=324 agents for 600 more episodes
[MAAC] Ep    1/600 | Reward     0.06 | Avg(10)     0.06 | PLoss -0.0013 | 139.1s
[MAAC] Ep   10/600 | Reward     0.18 | Avg(10)     0.15 | PLoss -0.0011 | 138.1s
[MAAC] Ep   20/600 | Reward     0.11 | Avg(10)     0.12 | PLoss -0.0007 | 167.1s
[MAAC] Ep   30/600 | Reward     0.27 | Avg(10)     0.14 | PLoss -0.0011 | 179.0s
[MAAC] Ep   40/600 | Reward     0.09 | Avg(10)     0.20 | PLoss -0.0004 | 150.0s
[MAAC] Ep   50/600 | Reward     0.13 | Avg(10)     0.18 | PLoss -0.0013 | 131.1s
[MAAC] Ep   60/600 | Reward     0.28 | Avg(10)     0.19 | PLoss -0.0009 | 157.0s
[MAAC] Ep   70/600 | Reward     0.21 | Avg(10)     0.15 | PLoss -0.0006 | 160.9s
[MAAC] Ep   80/600 | Reward     0.24 | Avg(10)     0.16 | PLoss -0.0009 | 148.7s
[MAAC] Ep   90/600 | Reward     0.14 | Avg(10)     0.16 | PLoss -0.0013 | 126.1s
[MAAC] Ep  100/600 | Reward     0.18 | Avg(10)     0.17 | PLoss -0.0002 | 120.2s
[MAAC] Ep  110/600 | Reward     0.27 | Avg(10)     0.12 | PLoss -0.0003 | 193.6s
[MAAC] Ep  120/600 | Reward     0.17 | Avg(10)     0.17 | PLoss -0.0012 | 174.9s
[MAAC] Ep  130/600 | Reward     0.37 | Avg(10)     0.26 | PLoss -0.0008 | 123.0s
[MAAC] Ep  140/600 | Reward     0.08 | Avg(10)     0.15 | PLoss -0.0005 | 90.8s
[MAAC] Ep  150/600 | Reward     0.29 | Avg(10)     0.17 | PLoss -0.0003 | 86.6s
[MAAC] Ep  160/600 | Reward     0.11 | Avg(10)     0.15 | PLoss -0.0016 | 79.7s
[MAAC] Ep  170/600 | Reward     0.09 | Avg(10)     0.14 | PLoss -0.0002 | 80.4s
[MAAC] Ep  180/600 | Reward     0.13 | Avg(10)     0.16 | PLoss -0.0002 | 81.9s
[MAAC] Ep  190/600 | Reward     0.30 | Avg(10)     0.25 | PLoss -0.0013 | 81.7s
[MAAC] Ep  200/600 | Reward     0.28 | Avg(10)     0.18 | PLoss -0.0008 | 82.2s
[MAAC] Ep  210/600 | Reward     0.11 | Avg(10)     0.18 | PLoss -0.0014 | 81.6s
[MAAC] Ep  220/600 | Reward     0.01 | Avg(10)     0.09 | PLoss -0.0004 | 80.9s
[MAAC] Ep  230/600 | Reward     0.13 | Avg(10)     0.13 | PLoss -0.0004 | 69.3s
[MAAC] Ep  240/600 | Reward     0.15 | Avg(10)     0.12 | PLoss -0.0012 | 69.4s
[MAAC] Ep  250/600 | Reward     0.16 | Avg(10)     0.15 | PLoss -0.0015 | 59.4s
[MAAC] Ep  260/600 | Reward     0.36 | Avg(10)     0.14 | PLoss -0.0011 | 59.4s
[MAAC] Ep  270/600 | Reward     0.15 | Avg(10)     0.15 | PLoss -0.0004 | 59.3s
[MAAC] Ep  280/600 | Reward     0.11 | Avg(10)     0.14 | PLoss -0.0004 | 59.6s
[MAAC] Ep  290/600 | Reward     0.17 | Avg(10)     0.24 | PLoss -0.0003 | 59.7s
[MAAC] Ep  300/600 | Reward     0.36 | Avg(10)     0.22 | PLoss -0.0006 | 59.5s
[MAAC] Ep  310/600 | Reward     0.35 | Avg(10)     0.25 | PLoss -0.0008 | 59.1s
[MAAC] Ep  320/600 | Reward     0.13 | Avg(10)     0.20 | PLoss -0.0002 | 60.0s
[MAAC] Ep  330/600 | Reward     0.23 | Avg(10)     0.26 | PLoss -0.0014 | 62.9s
[MAAC] Ep  340/600 | Reward     0.23 | Avg(10)     0.19 | PLoss -0.0001 | 59.7s
