Constellation: 18 planes × 18 sats = 324 agents
Training for 600 more episodes × 100 slots
Ep    1/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0054 | VLoss 0.0001 | Ent 1.2996 | 56.8s
Ep   10/600 | Reward     0.00 | Avg(10)     0.01 | PLoss 0.0002 | VLoss 0.0000 | Ent 1.3171 | 49.2s
Ep   20/600 | Reward     0.02 | Avg(10)     0.00 | PLoss -0.0004 | VLoss 0.0033 | Ent 1.2791 | 56.6s
Ep   30/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0001 | VLoss 0.0000 | Ent 1.2051 | 56.8s
Ep   40/600 | Reward     0.00 | Avg(10)     0.01 | PLoss 0.0001 | VLoss 0.0004 | Ent 1.2220 | 52.9s
Ep   50/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0001 | VLoss 0.0000 | Ent 1.2183 | 47.5s
Ep   60/600 | Reward     0.01 | Avg(10)     0.00 | PLoss -0.0010 | VLoss 0.0012 | Ent 1.2652 | 63.3s
Ep   70/600 | Reward     0.05 | Avg(10)     0.01 | PLoss -0.0010 | VLoss 0.0203 | Ent 1.2689 | 59.1s
Ep   80/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0006 | VLoss 0.0000 | Ent 1.2110 | 50.8s
Ep   90/600 | Reward     0.01 | Avg(10)     0.00 | PLoss 0.0001 | VLoss 0.0011 | Ent 1.2557 | 53.3s
Ep  100/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0001 | VLoss 0.0000 | Ent 1.1915 | 60.6s
Ep  110/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0001 | VLoss 0.0000 | Ent 1.2031 | 50.0s
Ep  120/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0001 | VLoss 0.0000 | Ent 1.1890 | 48.5s
Ep  130/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0000 | VLoss 0.0000 | Ent 1.2663 | 47.8s
Ep  140/600 | Reward     0.00 | Avg(10)     0.01 | PLoss 0.0001 | VLoss 0.0005 | Ent 1.2898 | 54.2s
Ep  150/600 | Reward     0.01 | Avg(10)     0.00 | PLoss -0.0008 | VLoss 0.0023 | Ent 1.2874 | 47.2s
Ep  160/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0007 | VLoss 0.0011 | Ent 1.2975 | 60.3s
Ep  170/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0006 | VLoss 0.0000 | Ent 1.3085 | 50.9s
Ep  180/600 | Reward     0.00 | Avg(10)     0.00 | PLoss 0.0000 | VLoss 0.0001 | Ent 1.2672 | 52.9s
Ep  190/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0002 | VLoss 0.0011 | Ent 1.3019 | 54.5s
Ep  200/600 | Reward     0.00 | Avg(10)     0.00 | PLoss -0.0009 | VLoss 0.0007 | Ent 1.2967 | 48.2s
