Scheme,N_users,Delay_ms,Delay_std_ms,Net_TP_Gbps
Proposed,500,180.485,37.77,0.0804
Proposed-NoBias,500,227.791,43.76,0.0701
MADRL,500,246.097,49.505,0.063
Proposed,1000,209.125,26.628,0.1615
Proposed-NoBias,1000,232.854,30.923,0.1479
MADRL,1000,269.277,28.797,0.1265
Proposed,1500,245.892,27.96,0.2329
Proposed-NoBias,1500,246.679,24.537,0.2212
MADRL,1500,277.523,25.232,0.1918
Proposed,2000,255.17,23.929,0.3002
Proposed-NoBias,2000,262.266,33.645,0.2839
MADRL,2000,288.94,25.841,0.2462
Proposed,2500,263.067,25.193,0.3661
Proposed-NoBias,2500,273.653,20.547,0.3442
MADRL,2500,301.347,21.08,0.3012
Proposed,3000,281.948,24.712,0.4142
Proposed-NoBias,3000,299.739,20.813,0.3844
MADRL,3000,318.642,22.179,0.345
