Scheme,N_users,Delay_ms,Delay_std_ms,Sat_TP_Mbps,Net_TP_Gbps
Proposed,500,178.813,40.121,0.2468,0.08
MADRL,500,246.035,49.202,0.1951,0.0632
GRLR,500,215.285,44.255,0.2192,0.071
STSD,500,304.48,48.058,0.1475,0.0478
DLBH,500,293.766,50.859,0.1559,0.0505
Proposed,1000,209.715,27.587,0.5012,0.1624
MADRL,1000,262.84,27.466,0.4003,0.1297
GRLR,1000,240.082,28.768,0.442,0.1432
STSD,1000,304.926,38.422,0.3124,0.1012
DLBH,1000,298.363,32.378,0.3215,0.1042
Proposed,1500,232.799,26.235,0.7373,0.2389
MADRL,1500,281.653,27.451,0.5876,0.1904
GRLR,1500,257.875,21.128,0.6643,0.2152
STSD,1500,307.996,23.999,0.4803,0.1556
DLBH,1500,311.145,27.782,0.4759,0.1542
Proposed,2000,248.669,28.31,0.9382,0.304
MADRL,2000,290.983,23.955,0.76,0.2462
GRLR,2000,266.469,20.59,0.8534,0.2765
STSD,2000,305.849,22.927,0.6425,0.2082
DLBH,2000,313.064,22.158,0.6255,0.2027
Proposed,2500,270.985,23.34,1.1085,0.3591
MADRL,2500,296.239,21.219,0.9447,0.3061
GRLR,2500,286.815,22.297,1.0151,0.3289
STSD,2500,322.552,22.392,0.7672,0.2486
DLBH,2500,327.388,19.759,0.7583,0.2457
Proposed,3000,285.528,26.069,1.2703,0.4116
MADRL,3000,320.883,18.299,1.059,0.3431
GRLR,3000,308.773,21.014,1.1412,0.3698
STSD,3000,327.061,21.21,0.9104,0.295
DLBH,3000,331.481,17.887,0.8911,0.2887
