Scheme,N_users,Delay_ms,Delay_std_ms,Sat_TP_Mbps,Net_TP_Gbps
Proposed,2000,263.329,28.51,0.3662,0.2901
MADRL,2000,300.509,21.56,0.3092,0.2449
GRLR,2000,286.469,28.034,0.3283,0.26
STSD,2000,384.911,20.366,0.1472,0.1166
DLBH,2000,386.7,19.467,0.145,0.1149
Proposed,3000,286.855,23.636,0.5005,0.3964
MADRL,3000,314.698,25.43,0.4367,0.3458
GRLR,3000,290.006,22.397,0.4923,0.3899
STSD,3000,387.991,17.241,0.2222,0.176
DLBH,3000,388.995,17.298,0.2184,0.173
Proposed,4000,305.504,18.452,0.6216,0.4923
MADRL,4000,334.242,14.422,0.5345,0.4234
GRLR,4000,316.547,13.897,0.5819,0.4608
STSD,4000,390.293,15.494,0.293,0.232
DLBH,4000,394.965,16.711,0.2845,0.2254
Proposed,5000,323.121,14.266,0.7094,0.5619
MADRL,5000,333.705,15.76,0.6669,0.5282
GRLR,5000,327.446,13.64,0.7014,0.5555
STSD,5000,395.007,12.03,0.3564,0.2823
DLBH,5000,396.405,12.84,0.351,0.278
Proposed,6000,338.21,12.534,0.8019,0.6351
MADRL,6000,349.042,15.579,0.7469,0.5916
GRLR,6000,337.253,11.763,0.798,0.632
STSD,6000,396.45,10.173,0.4273,0.3384
DLBH,6000,398.024,11.122,0.4206,0.3331
Proposed,7000,343.888,12.925,0.9071,0.7184
MADRL,7000,358.564,14.789,0.8116,0.6428
GRLR,7000,351.612,13.976,0.8581,0.6796
STSD,7000,403.859,9.403,0.4737,0.3752
DLBH,7000,401.347,10.679,0.4829,0.3825
