Scheme,N_users,Delay_ms,Delay_std_ms,Sat_TP_Mbps,Net_TP_Gbps
Proposed,500,173.983,42.0,0.2484,0.0805
MADRL,500,236.859,48.778,0.198,0.0641
GRLR,500,203.63,47.178,0.2236,0.0725
STSD,500,278.917,50.436,0.1633,0.0529
DLBH,500,294.078,50.546,0.1532,0.0496
Proposed,1000,196.883,27.724,0.5074,0.1644
MADRL,1000,268.009,31.504,0.3932,0.1274
GRLR,1000,251.189,25.825,0.4389,0.1422
STSD,1000,294.423,35.58,0.3238,0.1049
DLBH,1000,304.162,33.201,0.3166,0.1026
Proposed,1500,230.196,22.757,0.7414,0.2402
MADRL,1500,282.782,26.274,0.5823,0.1887
GRLR,1500,254.862,23.955,0.6669,0.2161
STSD,1500,305.303,30.882,0.4854,0.1573
DLBH,1500,309.672,26.273,0.4788,0.1551
Proposed,2000,243.907,19.916,0.9441,0.3059
MADRL,2000,291.552,23.626,0.7583,0.2457
GRLR,2000,271.233,20.092,0.8529,0.2763
STSD,2000,312.075,23.445,0.6291,0.2038
DLBH,2000,315.124,19.556,0.6296,0.204
Proposed,2500,265.894,19.741,1.1177,0.3621
MADRL,2500,310.233,21.613,0.911,0.2952
GRLR,2500,286.957,24.323,1.028,0.3331
STSD,2500,315.748,22.045,0.7908,0.2562
DLBH,2500,321.79,18.434,0.7694,0.2493
Proposed,3000,283.79,19.203,1.2835,0.4159
MADRL,3000,313.544,18.319,1.0813,0.3504
GRLR,3000,296.529,17.553,1.1919,0.3862
STSD,3000,330.726,17.751,0.9014,0.2921
DLBH,3000,332.737,17.564,0.8961,0.2903
