Scheme,Throughput_Mbps
Proposed,292.32
Proposed,270.24
Proposed,300.84
Proposed,325.56
Proposed,304.44
Proposed,281.16
Proposed,315.24
Proposed,302.04
Proposed,271.56
Proposed,307.08
Proposed,315.84
Proposed,283.8
Proposed,292.56
Proposed,295.44
Proposed,267.24
Proposed,264.72
Proposed,320.64
Proposed,304.2
Proposed,278.52
Proposed,282.6
Proposed,318.84
Proposed,319.92
Proposed,294.24
Proposed,303.84
Proposed,334.68
Proposed,303.24
Proposed,293.76
Proposed,292.08
Proposed,289.68
Proposed,267.72
Proposed,297.84
Proposed,297.96
Proposed,314.4
Proposed,310.56
Proposed,282.48
Proposed,316.08
Proposed,318.96
Proposed,320.28
Proposed,303.6
Proposed,296.64
Proposed,323.16
Proposed,297.24
Proposed,327.72
Proposed,317.4
Proposed,295.68
Proposed,284.64
Proposed,317.76
Proposed,298.32
Proposed,298.2
Proposed,310.32
Proposed,287.4
Proposed,299.4
Proposed,274.68
Proposed,320.4
Proposed,294.6
Proposed,297.12
Proposed,294.0
Proposed,287.88
Proposed,312.72
Proposed,271.44
Proposed,311.76
Proposed,295.44
Proposed,311.64
Proposed,297.84
Proposed,300.24
Proposed,279.36
Proposed,318.6
Proposed,283.92
Proposed,348.72
Proposed,278.64
Proposed,268.44
Proposed,280.44
Proposed,317.04
Proposed,262.2
Proposed,262.2
Proposed,303.36
Proposed,293.88
Proposed,303.6
Proposed,320.04
Proposed,298.32
Proposed,317.04
Proposed,297.24
Proposed,264.0
Proposed,297.6
Proposed,339.96
Proposed,309.96
Proposed,304.8
Proposed,309.24
Proposed,334.2
Proposed,310.68
Proposed,296.76
Proposed,272.04
Proposed,303.48
Proposed,300.48
Proposed,301.32
Proposed,310.92
Proposed,305.4
Proposed,276.96
Proposed,307.08
Proposed,282.0
Proposed,294.6
Proposed,294.72
Proposed,316.56
Proposed,325.92
Proposed,319.44
Proposed,352.08
Proposed,297.6
Proposed,285.96
Proposed,339.96
Proposed,334.8
Proposed,329.64
Proposed,300.24
Proposed,318.0
Proposed,322.92
Proposed,316.92
Proposed,294.6
Proposed,306.84
Proposed,294.36
Proposed,301.2
Proposed,318.24
Proposed,329.04
Proposed,358.92
Proposed,281.52
Proposed,302.52
