Scheme,Throughput_Mbps
Proposed,560.64
Proposed,522.6
Proposed,512.76
Proposed,517.68
Proposed,551.16
Proposed,495.72
Proposed,519.72
Proposed,527.16
Proposed,513.12
Proposed,518.28
Proposed,532.08
Proposed,504.48
Proposed,495.12
Proposed,533.28
Proposed,530.4
Proposed,521.16
Proposed,529.68
Proposed,569.88
Proposed,561.24
Proposed,579.6
Proposed,494.88
Proposed,514.56
Proposed,491.16
Proposed,564.24
Proposed,540.6
Proposed,550.92
Proposed,567.6
Proposed,555.6
Proposed,512.64
Proposed,494.04
Proposed,481.92
Proposed,543.36
Proposed,576.84
Proposed,590.52
Proposed,544.56
Proposed,531.36
Proposed,539.28
Proposed,541.2
Proposed,549.6
Proposed,513.84
Proposed,524.16
Proposed,575.16
Proposed,507.72
Proposed,540.12
Proposed,510.12
Proposed,538.44
Proposed,571.68
Proposed,581.16
Proposed,469.68
Proposed,554.88
Proposed,512.28
Proposed,519.96
Proposed,575.88
Proposed,549.0
Proposed,498.24
Proposed,596.52
Proposed,494.28
Proposed,524.4
Proposed,585.84
Proposed,546.6
Proposed,553.68
Proposed,518.28
Proposed,511.32
Proposed,537.6
Proposed,533.04
Proposed,517.32
Proposed,530.88
Proposed,605.16
Proposed,501.0
Proposed,524.4
Proposed,587.64
Proposed,524.64
Proposed,480.96
Proposed,542.16
Proposed,562.44
Proposed,518.16
Proposed,499.08
Proposed,519.48
Proposed,576.0
Proposed,559.68
Proposed,552.84
Proposed,578.16
Proposed,564.84
Proposed,541.2
Proposed,574.2
Proposed,530.52
Proposed,497.16
Proposed,544.2
Proposed,501.0
Proposed,504.12
Proposed,515.04
Proposed,513.36
Proposed,517.92
Proposed,588.96
Proposed,558.36
Proposed,533.28
Proposed,534.72
Proposed,449.04
Proposed,500.16
Proposed,594.48
Proposed,545.16
Proposed,555.6
Proposed,572.64
Proposed,564.96
Proposed,602.04
Proposed,547.32
Proposed,560.28
Proposed,534.0
Proposed,564.84
Proposed,602.04
Proposed,567.0
Proposed,554.4
Proposed,585.72
Proposed,526.68
Proposed,597.36
Proposed,563.88
Proposed,604.2
Proposed,573.24
Proposed,584.28
Proposed,566.52
Proposed,549.96
Proposed,495.48
Proposed,557.88
Proposed,556.08
Proposed,523.8
Proposed,551.04
Proposed,532.44
Proposed,567.72
Proposed,550.44
Proposed,564.96
Proposed,607.32
Proposed,537.48
Proposed,584.52
Proposed,525.6
Proposed,575.16
Proposed,563.76
Proposed,534.24
Proposed,565.92
Proposed,541.68
Proposed,543.84
Proposed,554.64
Proposed,541.92
Proposed,540.48
Proposed,566.28
Proposed,577.68
Proposed,562.08
Proposed,563.88
Proposed,545.64
Proposed,537.0
Proposed,588.48
Proposed,511.44
Proposed,567.24
Proposed,564.0
Proposed,605.64
Proposed,561.72
Proposed,537.36
Proposed,588.0
Proposed,567.0
Proposed,569.52
Proposed,586.32
Proposed,562.92
Proposed,558.0
Proposed,567.0
Proposed,528.84
Proposed,588.48
Proposed,562.56
Proposed,548.52
Proposed,564.36
Proposed,609.48
Proposed,560.88
Proposed,529.68
Proposed,526.68
Proposed,550.08
Proposed,578.64
Proposed,629.88
Proposed,568.92
Proposed,507.12
Proposed,558.36
Proposed,608.16
Proposed,533.88
Proposed,533.4
Proposed,579.84
Proposed,586.44
Proposed,528.96
Proposed,574.92
Proposed,559.8
Proposed,582.36
Proposed,548.52
Proposed,575.76
Proposed,601.92
Proposed,615.0
Proposed,585.24
Proposed,622.68
Proposed,579.72
Proposed,571.8
Proposed,561.96
Proposed,572.76
Proposed,552.24
Proposed,583.2
Proposed,589.68
Proposed,651.72
Proposed,529.2
Proposed,535.32
Proposed,594.12
Proposed,594.0
Proposed,606.12
Proposed,591.24
Proposed,605.16
Proposed,586.44
Proposed,593.64
Proposed,598.08
Proposed,593.52
Proposed,647.04
Proposed,542.88
Proposed,541.92
Proposed,615.72
Proposed,622.44
Proposed,594.24
Proposed,603.72
Proposed,581.16
Proposed,531.48
Proposed,562.68
Proposed,585.84
Proposed,596.4
Proposed,568.44
Proposed,569.88
Proposed,603.72
Proposed,567.12
Proposed,590.04
Proposed,606.84
Proposed,615.84
Proposed,550.68
Proposed,637.32
Proposed,581.52
Proposed,621.48
Proposed,587.64
Proposed,603.36
Proposed,586.56
Proposed,564.72
Proposed,610.32
Proposed,583.92
Proposed,572.16
Proposed,602.16
Proposed,547.32
Proposed,584.52
Proposed,600.24
Proposed,660.72
Proposed,590.88
Proposed,634.8
Proposed,641.76
Proposed,611.76
Proposed,597.96
Proposed,593.88
Proposed,585.24
Proposed,577.32
Proposed,619.08
Proposed,544.32
Proposed,582.48
Proposed,604.32
Proposed,605.88
Proposed,594.24
Proposed,599.76
Proposed,599.16
Proposed,595.56
Proposed,589.32
Proposed,588.24
Proposed,600.36
Proposed,590.88
Proposed,587.4
Proposed,615.12
Proposed,612.84
Proposed,596.16
Proposed,559.8
Proposed,628.56
Proposed,575.76
Proposed,631.44
Proposed,602.04
Proposed,632.28
Proposed,562.44
Proposed,616.92
Proposed,589.68
Proposed,618.72
Proposed,582.72
Proposed,598.92
Proposed,591.24
Proposed,618.84
Proposed,566.28
Proposed,620.16
Proposed,606.12
Proposed,571.2
Proposed,622.44
Proposed,577.8
Proposed,626.64
Proposed,601.56
Proposed,641.76
Proposed,582.84
Proposed,595.08
Proposed,608.64
Proposed,629.4
Proposed,593.88
Proposed,566.64
Proposed,564.12
Proposed,523.68
Proposed,519.72
Proposed,582.96
Proposed,589.2
Proposed,577.56
Proposed,568.08
Proposed,580.44
Proposed,609.24
Proposed,575.64
Proposed,566.76
Proposed,512.52
Proposed,576.0
Proposed,544.32
Proposed,548.4
Proposed,538.68
Proposed,583.08
Proposed,553.8
Proposed,569.88
Proposed,584.76
Proposed,585.96
Proposed,568.08
Proposed,554.04
Proposed,633.6
Proposed,559.92
Proposed,559.8
Proposed,520.2
Proposed,601.2
Proposed,581.52
Proposed,580.2
Proposed,602.88
Proposed,553.08
Proposed,654.6
Proposed,607.56
Proposed,537.96
Proposed,582.12
Proposed,615.24
Proposed,556.44
Proposed,620.52
Proposed,599.04
Proposed,504.48
Proposed,547.2
Proposed,549.84
Proposed,569.16
Proposed,552.72
Proposed,553.44
Proposed,580.68
Proposed,615.84
Proposed,597.0
Proposed,545.64
Proposed,555.6
