Scheme,Throughput_Mbps
Proposed,322.56
Proposed,306.48
Proposed,338.28
Proposed,283.08
Proposed,304.2
Proposed,312.48
Proposed,281.16
Proposed,293.04
Proposed,304.8
Proposed,292.8
Proposed,286.32
Proposed,291.36
Proposed,279.96
Proposed,271.08
Proposed,280.44
Proposed,315.0
Proposed,293.76
Proposed,306.48
Proposed,263.16
Proposed,308.88
Proposed,304.08
Proposed,271.56
Proposed,313.56
Proposed,256.68
Proposed,247.44
Proposed,273.0
Proposed,292.8
Proposed,261.12
Proposed,295.8
Proposed,263.88
Proposed,310.2
Proposed,292.8
Proposed,291.36
Proposed,307.44
Proposed,291.96
Proposed,313.32
Proposed,266.52
Proposed,276.96
Proposed,291.12
Proposed,303.24
Proposed,292.32
Proposed,316.32
Proposed,254.64
Proposed,292.56
Proposed,315.72
Proposed,274.32
Proposed,272.4
Proposed,289.8
Proposed,295.8
Proposed,303.72
Proposed,287.52
Proposed,273.24
Proposed,300.84
Proposed,321.72
Proposed,313.2
Proposed,294.6
Proposed,276.0
Proposed,274.56
Proposed,309.84
Proposed,328.32
Proposed,305.64
Proposed,304.92
Proposed,295.2
Proposed,287.4
Proposed,304.8
Proposed,271.2
Proposed,295.08
Proposed,298.32
Proposed,293.4
Proposed,260.4
Proposed,312.96
Proposed,297.0
Proposed,314.76
Proposed,303.24
Proposed,293.4
Proposed,284.4
Proposed,276.36
Proposed,283.32
Proposed,312.24
Proposed,284.88
Proposed,271.08
Proposed,317.04
Proposed,295.44
Proposed,319.56
Proposed,257.88
Proposed,292.92
Proposed,292.32
Proposed,273.6
Proposed,298.44
Proposed,278.28
Proposed,285.36
Proposed,311.4
Proposed,300.36
Proposed,276.48
Proposed,292.68
Proposed,285.0
Proposed,309.36
Proposed,308.64
Proposed,323.52
Proposed,267.48
Proposed,289.56
Proposed,332.64
Proposed,327.84
Proposed,320.28
Proposed,329.4
Proposed,328.44
Proposed,305.64
Proposed,316.68
Proposed,295.32
Proposed,294.48
Proposed,307.32
Proposed,315.36
Proposed,327.96
Proposed,298.56
Proposed,293.16
Proposed,307.2
Proposed,326.28
Proposed,330.84
Proposed,311.28
Proposed,302.88
Proposed,306.6
Proposed,342.84
Proposed,286.08
Proposed,288.36
Proposed,306.24
Proposed,282.24
Proposed,327.24
Proposed,313.32
Proposed,313.44
Proposed,295.68
Proposed,331.68
Proposed,316.92
Proposed,298.32
Proposed,331.32
Proposed,330.84
Proposed,320.88
Proposed,311.76
Proposed,321.96
Proposed,316.68
Proposed,333.72
Proposed,333.0
Proposed,339.96
Proposed,323.64
Proposed,339.36
Proposed,324.48
Proposed,309.72
Proposed,327.0
Proposed,318.12
Proposed,345.96
Proposed,294.0
Proposed,324.24
Proposed,272.28
Proposed,314.04
Proposed,317.16
Proposed,327.48
Proposed,327.84
Proposed,298.32
Proposed,350.64
Proposed,260.4
Proposed,301.44
Proposed,317.16
Proposed,298.68
Proposed,311.28
Proposed,297.24
Proposed,339.72
Proposed,310.08
Proposed,314.16
Proposed,324.96
Proposed,337.8
Proposed,320.4
Proposed,279.48
Proposed,318.24
Proposed,337.92
Proposed,301.92
Proposed,315.84
Proposed,305.4
Proposed,278.52
Proposed,338.04
Proposed,338.28
Proposed,315.0
Proposed,323.64
Proposed,304.92
Proposed,317.28
Proposed,283.08
Proposed,310.56
Proposed,310.2
Proposed,317.28
Proposed,329.76
Proposed,309.84
Proposed,325.08
Proposed,310.56
Proposed,315.84
Proposed,313.68
Proposed,286.8
Proposed,314.28
Proposed,307.44
Proposed,335.52
Proposed,286.44
Proposed,337.08
Proposed,306.36
Proposed,302.52
Proposed,304.68
Proposed,317.04
Proposed,296.16
Proposed,307.44
Proposed,295.68
Proposed,306.6
Proposed,303.36
Proposed,311.88
Proposed,297.0
Proposed,290.04
Proposed,302.16
Proposed,301.32
Proposed,295.92
Proposed,312.72
Proposed,308.4
Proposed,284.52
Proposed,305.88
Proposed,320.76
Proposed,286.8
Proposed,320.76
Proposed,294.24
Proposed,305.52
Proposed,303.0
Proposed,328.68
Proposed,316.08
Proposed,301.32
Proposed,315.36
Proposed,293.64
Proposed,296.88
Proposed,300.0
Proposed,290.4
Proposed,324.24
Proposed,315.36
Proposed,282.96
Proposed,316.68
Proposed,290.4
Proposed,278.64
Proposed,298.68
Proposed,304.44
Proposed,292.92
Proposed,284.88
Proposed,285.96
Proposed,333.72
Proposed,311.88
Proposed,300.96
Proposed,299.04
