Scheme,N_users,PLR,PLR_std
Proposed,500,0.16559,0.01987
MADRL,500,0.34088,0.04091
GRLR,500,0.26061,0.03127
STSD,500,0.49909,0.05989
DLBH,500,0.47436,0.05692
Proposed,1000,0.1779,0.02135
MADRL,1000,0.34531,0.04144
GRLR,1000,0.2699,0.03239
STSD,1000,0.48692,0.05843
DLBH,1000,0.47075,0.05649
Proposed,1500,0.19911,0.02389
MADRL,1500,0.36536,0.04384
GRLR,1500,0.28131,0.03376
STSD,1500,0.4803,0.05764
DLBH,1500,0.48292,0.05795
Proposed,2000,0.23232,0.02788
MADRL,2000,0.37497,0.045
GRLR,2000,0.2988,0.03586
STSD,2000,0.47316,0.05678
DLBH,2000,0.48528,0.05823
Proposed,2500,0.27748,0.0333
MADRL,2500,0.38468,0.04616
GRLR,2500,0.33688,0.04043
STSD,2500,0.49758,0.05971
DLBH,2500,0.50551,0.06066
Proposed,3000,0.3131,0.03757
MADRL,3000,0.42647,0.05118
GRLR,3000,0.38334,0.046
STSD,3000,0.50712,0.06085
DLBH,3000,0.51665,0.062
