Scheme,N_users,PLR,PLR_std
Proposed,2000,0.26736,0.03208
MADRL,2000,0.3814,0.04577
GRLR,2000,0.34218,0.04106
STSD,2000,0.70464,0.08456
DLBH,2000,0.70939,0.08513
Proposed,3000,0.33813,0.04058
MADRL,3000,0.42127,0.05055
GRLR,3000,0.34984,0.04198
STSD,3000,0.70618,0.08474
DLBH,3000,0.71163,0.0854
Proposed,4000,0.38064,0.04568
MADRL,4000,0.46753,0.0561
GRLR,4000,0.42165,0.0506
STSD,4000,0.70923,0.08511
DLBH,4000,0.71708,0.08605
Proposed,5000,0.43437,0.05212
MADRL,5000,0.46905,0.05629
GRLR,5000,0.44081,0.0529
STSD,5000,0.71647,0.08598
DLBH,5000,0.72078,0.08649
Proposed,6000,0.47062,0.05647
MADRL,6000,0.50618,0.06074
GRLR,6000,0.47263,0.05672
STSD,6000,0.71741,0.08609
DLBH,6000,0.72204,0.08665
Proposed,7000,0.48448,0.05814
MADRL,7000,0.54012,0.06481
GRLR,7000,0.51329,0.0616
STSD,7000,0.73141,0.08777
DLBH,7000,0.72562,0.08707
